step,state,force_close,jpos_shoulder_pan,jpos_shoulder_lift,jpos_elbow_flex,jpos_wrist_flex,jpos_wrist_roll,jpos_gripper,jpos_left_proximal,jpos_right_proximal,jpos_left_distal,jpos_right_distal,jvel_shoulder_pan,jvel_shoulder_lift,jvel_elbow_flex,jvel_wrist_flex,jvel_wrist_roll,jvel_gripper,jvel_left_proximal,jvel_right_proximal,jvel_left_distal,jvel_right_distal,action_0,action_1,action_2,action_3,action_4,action_5,target_ee_x,target_ee_y,target_ee_z,current_ee_x,current_ee_y,current_ee_z,cube_x,cube_y,cube_z
0,APPROACH,0,0.0,0.0,0.0,1.5700000524520874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041411299258470535,0.017560258507728577,0.05327688902616501,0.02302630804479122,1.0704543154660406e-11,1.0,0.2112959921360016,-0.048994116485118866,0.1120000034570694,0.23218289017677307,-0.00017702672630548477,0.1732701063156128,0.2112959921360016,-0.048994116485118866,0.012000000104308128
1,APPROACH,0,0.0030096678528934717,0.0032967105507850647,0.004089331720024347,1.5717769861221313,1.5777301086927764e-05,-1.5813196585501288e-10,-3.4914746720460244e-06,0.022270388901233673,0.000255564518738538,-0.02140328474342823,0.14101341366767883,0.06975709646940231,0.20259173214435577,0.08395116776227951,-0.025145774707198143,-0.00013555277837440372,-0.6250224709510803,0.630754292011261,0.6248868703842163,-0.6250225305557251,0.041658610105514526,0.0196926798671484,0.05778161436319351,0.025198698043823242,1.051821163855493e-05,1.0,0.2104758322238922,-0.0454731322824955,0.11236373335123062,0.23202736675739288,-0.000758451409637928,0.17218279838562012,0.2104758322238922,-0.0454731322824955,0.012363729067146778
2,APPROACH,0,0.00591930840164423,0.007001708727329969,0.008516867645084858,1.5736408233642578,5.3472514991881326e-05,-9.730100059002211e-11,-5.526358108909335e-06,0.045521028339862823,0.00035346561344340444,-0.042449306696653366,0.1350417286157608,0.06823164224624634,0.20863431692123413,0.08800982683897018,-0.02400287054479122,-6.175401358632371e-05,-0.5935766696929932,0.6071205735206604,0.5935148596763611,-0.5935766696929932,0.043433479964733124,0.02269638329744339,0.06061873957514763,0.026001136749982834,3.5648354241857305e-05,1.0,0.21047969162464142,-0.044925156980752945,0.11214709281921387,0.23185986280441284,-0.0013196086511015892,0.17098760604858398,0.21047969162464142,-0.044925156980752945,0.012147095054388046
3,APPROACH,0,0.008815547451376915,0.010739962570369244,0.012928949669003487,1.5754694938659668,9.165457595372573e-05,-9.465515177220496e-11,-7.478663974325173e-06,0.06661827862262726,0.0004396884760353714,-0.05996069312095642,0.13550135493278503,0.07002538442611694,0.20800931751728058,0.08694639801979065,-0.020283591002225876,4.479878953134175e-06,-0.5011659264564514,0.5215210914611816,0.5011705160140991,-0.501166045665741,0.04565052688121796,0.025596758350729942,0.06315457820892334,0.026671171188354492,6.110306276241317e-05,1.0,0.21047869324684143,-0.045073751360177994,0.11199992895126343,0.23168638348579407,-0.0018771681934595108,0.16979336738586426,0.21047869324684143,-0.045073751360177994,0.011999930255115032
4,APPROACH,0,0.01173185184597969,0.014501354657113552,0.01729431003332138,1.5772545337677002,0.00012909005454275757,-3.198955544903015e-10,-9.256920748157427e-06,0.08455824851989746,0.0005173810059204698,-0.07320556789636612,0.1376723200082779,0.07135021686553955,0.2063555270433426,0.08544687181711197,-0.016099968925118446,4.7816516598686576e-05,-0.39887735247612,0.42450106143951416,0.39892518520355225,-0.3988773822784424,0.04785240814089775,0.02846282534301281,0.06571929156780243,0.027374109253287315,8.60600484884344e-05,1.0,0.2104785293340683,-0.045073214918375015,0.11199992895126343,0.2315087467432022,-0.0024375636130571365,0.16860580444335938,0.2104785293340683,-0.045073214918375015,0.011999926529824734
5,APPROACH,0,0.014666399918496609,0.018279748037457466,0.021616386249661446,1.5790003538131714,0.00016541175136808306,-6.090142279369104e-10,-1.0839649803529028e-05,0.0993369072675705,0.0005882224650122225,-0.08247260749340057,0.139643132686615,0.07248745113611221,0.20499050617218018,0.084084652364254,-0.012211239896714687,6.957114237593487e-05,-0.3048206567764282,0.33420684933662415,0.30489033460617065,-0.30482062697410583,0.05007021129131317,0.031334832310676575,0.0682523176074028,0.028053998947143555,0.0001102745154639706,1.0,0.2104785293340683,-0.04507320746779442,0.11199996620416641,0.23132620751857758,-0.0030003362335264683,0.16742545366287231,0.2104785293340683,-0.04507320746779442,0.011999961920082569
6,APPROACH,0,0.017619509249925613,0.022074859589338303,0.02589563839137554,1.5807071924209595,0.0002006013091886416,-8.681632079898804e-10,-1.2243200217199046e-05,0.11135812103748322,0.0006525636417791247,-0.08842679858207703,0.14146073162555695,0.07359346747398376,0.2036559134721756,0.0826277881860733,-0.008897018618881702,7.520963117713109e-05,-0.22529743611812592,0.2571623623371124,0.22537276148796082,-0.22529739141464233,0.052303850650787354,0.03421250730752945,0.07075423002243042,0.028711002320051193,0.0001337342255283147,1.0,0.21047867834568024,-0.04507331922650337,0.11199995130300522,0.23113884031772614,-0.0035656504333019257,0.1662522852420807,0.21047867834568024,-0.04507331922650337,0.011999950744211674
7,APPROACH,0,0.020591523498296738,0.025886433199048042,0.03013218194246292,1.5823761224746704,0.00023478633374907076,-1.283848471977933e-09,-1.3485648196365219e-05,0.12108464539051056,0.0007108923746272922,-0.09174441546201706,0.1431272178888321,0.07467194646596909,0.2023387998342514,0.08109240233898163,-0.00616409769281745,6.98516596457921e-05,-0.16011320054531097,0.19342459738254547,0.16018328070640564,-0.1601131409406662,0.05455350875854492,0.03709518909454346,0.07322565466165543,0.029346387833356857,0.00015652424190193415,1.0,0.21047855913639069,-0.04507321119308472,0.11199993640184402,0.2309466302394867,-0.004133448004722595,0.16508609056472778,0.21047855913639069,-0.04507321119308472,0.011999936774373055
8,APPROACH,0,0.023582762107253075,0.02971414290368557,0.03432614728808403,1.584006428718567,0.0002681193873286247,-1.831558016363033e-09,-1.4583977645088453e-05,0.1289377510547638,0.0007636656519025564,-0.09301500022411346,0.14466418325901031,0.075724296271801,0.20103074610233307,0.07950436323881149,-0.003943991381675005,5.743927613366395e-05,-0.1073957309126854,0.14134810864925385,0.10745338350534439,-0.10739573836326599,0.05681959539651871,0.03998274356126785,0.07566621899604797,0.02995952032506466,0.0001787462824722752,1.0,0.21047855913639069,-0.04507321119308472,0.11199992150068283,0.2307497262954712,-0.0047037648037076,0.16392704844474792,0.21047855913639069,-0.04507321119308472,0.011999920941889286
9,APPROACH,0,0.026593564078211784,0.03355766460299492,0.03847761079668999,1.5855988264083862,0.0003007394843734801,-2.3611876898144146e-09,-1.5555793652310967e-05,0.13527408242225647,0.0008112937794066966,-0.09272503852844238,0.14609667658805847,0.07675416022539139,0.19972282648086548,0.07787659764289856,-0.002154134213924408,4.082349187228829e-05,-0.0650293305516243,0.09900610893964767,0.06507040560245514,-0.06502938270568848,0.05910254269838333,0.04287455603480339,0.0780760645866394,0.030551036819815636,0.0002004930138355121,1.0,0.2104785293340683,-0.04507320374250412,0.11199995875358582,0.23054811358451843,-0.005276516079902649,0.162774920463562,0.2104785293340683,-0.04507320374250412,0.011999956332147121
